Player,GP,W%,SCPG,GPG,APG,SAPG,SHPG,Rating,Country
cavemanben,99,"
    58.59%
  ","
    345.51
  ","
    0.72
  ","
    0.71
  ","
    1.13
  ","
    3.07
  ",0.99,au
Memory,413,"
    48.43%
  ","
    370.56
  ","
    0.73
  ","
    0.42
  ","
    1.69
  ","
    2.98
  ",0.99,us
Matt,195,"
    42.05%
  ","
    248.31
  ","
    0.76
  ","
    0.47
  ","
    1.44
  ","
    2.59
  ",0.99,us
Andy,111,"
    51.35%
  ","
    406.26
  ","
    0.71
  ","
    0.43
  ","
    1.75
  ","
    3.00
  ",0.99,us
HepsKid,15,"
    66.67%
  ","
    348.33
  ","
    0.87
  ","
    0.60
  ","
    1.13
  ","
    2.47
  ",0.99,int
Turbopolsa,769,"
    61.12%
  ","
    318.24
  ","
    0.77
  ","
    0.50
  ","
    1.41
  ","
    2.91
  ",0.99,se
Wonder,228,"
    41.23%
  ","
    348.18
  ","
    0.66
  ","
    0.51
  ","
    1.52
  ","
    2.69
  ",0.99,us
Chris,46,"
    45.65%
  ","
    368.28
  ","
    0.76
  ","
    0.63
  ","
    1.41
  ","
    2.96
  ",0.99,int
SOMA,56,"
    46.43%
  ","
    251.61
  ","
    0.70
  ","
    0.41
  ","
    1.25
  ","
    2.54
  ",0.99,au
Plitz,74,"
    37.84%
  ","
    244.46
  ","
    0.74
  ","
    0.46
  ","
    1.16
  ","
    2.66
  ",0.99,au
Arsenal,374,"
    64.44%
  ","
    366.59
  ","
    0.69
  ","
    0.60
  ","
    1.47
  ","
    2.62
  ",0.99,us
ElOmarMaton,27,"
    48.15%
  ","
    359.33
  ","
    0.74
  ","
    0.52
  ","
    1.52
  ","
    2.04
  ",0.99,int
Shoe,29,"
    27.59%
  ","
    383.79
  ","
    0.66
  ","
    0.48
  ","
    1.93
  ","
    2.66
  ",0.99,au
LuiisP,36,"
    36.11%
  ","
    389.03
  ","
    0.56
  ","
    0.53
  ","
    2.36
  ","
    2.22
  ",0.99,es
SSteve,106,"
    48.11%
  ","
    353.55
  ","
    0.72
  ","
    0.46
  ","
    1.39
  ","
    2.93
  ",0.99,au
matsgrey,50,"
    56.00%
  ","
    393.14
  ","
    0.70
  ","
    0.60
  ","
    1.72
  ","
    2.76
  ",0.99,dk
Mijo,79,"
    45.57%
  ","
    255.38
  ","
    0.63
  ","
    0.51
  ","
    1.63
  ","
    2.37
  ",0.98,us
matix,240,"
    59.17%
  ","
    349.01
  ","
    0.75
  ","
    0.51
  ","
    1.32
  ","
    2.81
  ",0.98,br
Revezy,16,"
    43.75%
  ","
    390.38
  ","
    1.06
  ","
    0.19
  ","
    1.63
  ","
    2.81
  ",0.98,int
Outlast,77,"
    35.06%
  ","
    317.87
  ","
    0.56
  ","
    0.53
  ","
    1.68
  ","
    2.34
  ",0.98,au
SPYDOGE,213,"
    47.89%
  ","
    370.76
  ","
    0.68
  ","
    0.54
  ","
    1.63
  ","
    2.62
  ",0.98,au
Joel,48,"
    45.83%
  ","
    380.88
  ","
    0.65
  ","
    0.65
  ","
    1.69
  ","
    2.75
  ",0.98,int
JRuss,179,"
    43.02%
  ","
    367.70
  ","
    0.74
  ","
    0.46
  ","
    1.46
  ","
    2.98
  ",0.98,us
Blip,21,"
    28.57%
  ","
    387.95
  ","
    0.71
  ","
    0.48
  ","
    1.81
  ","
    2.29
  ",0.98,int
Freshness,178,"
    46.63%
  ","
    387.69
  ","
    0.63
  ","
    0.49
  ","
    1.89
  ","
    2.90
  ",0.98,ca
breyyn,7,"
    57.14%
  ","
    409.14
  ","
    0.71
  ","
    0.43
  ","
    2.14
  ","
    2.00
  ",0.98,int
xpurt,31,"
    48.39%
  ","
    392.90
  ","
    0.68
  ","
    0.42
  ","
    1.97
  ","
    2.48
  ",0.98,int
Compact,54,"
    42.59%
  ","
    398.41
  ","
    0.70
  ","
    0.41
  ","
    1.80
  ","
    2.96
  ",0.98,int
Demonator,27,"
    48.15%
  ","
    342.52
  ","
    0.78
  ","
    0.48
  ","
    1.19
  ","
    2.48
  ",0.98,us
ViolentPanda,632,"
    56.49%
  ","
    321.19
  ","
    0.60
  ","
    0.61
  ","
    1.53
  ","
    2.62
  ",0.98,nl
Crazy,22,"
    40.91%
  ","
    394.59
  ","
    0.86
  ","
    0.64
  ","
    1.32
  ","
    3.09
  ",0.98,int
retals,378,"
    61.38%
  ","
    375.89
  ","
    0.72
  ","
    0.48
  ","
    1.58
  ","
    2.80
  ",0.98,us
Bits,23,"
    43.48%
  ","
    360.91
  ","
    0.52
  ","
    0.91
  ","
    1.74
  ","
    2.09
  ",0.98,int
Rehzzy,55,"
    49.09%
  ","
    415.22
  ","
    0.82
  ","
    0.33
  ","
    1.85
  ","
    3.15
  ",0.98,int
Repi,204,"
    52.45%
  ","
    351.76
  ","
    0.70
  ","
    0.53
  ","
    1.46
  ","
    2.61
  ",0.98,br
Homie,60,"
    46.67%
  ","
    350.12
  ","
    0.73
  ","
    0.45
  ","
    1.45
  ","
    2.52
  ",0.98,au
